"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"087","رقم التقرير [OBSOLETE, CAN/MARC]","رقم التقرير [OBSOLETE, CAN/MARC]","1","0","0","","","","BKA"
"088","رقم التقرير ","رقم التقرير ","1","0","0","","","","BKA"
"090","رقم الضبط المحلى ","رقم الضبط المحلى ","1","0","0","","","","BKA"
"091","موقع الميكروفيلم على الرف - مهمل","موقع الميكروفيلم على الرف - مهمل","0","0","0","","","","BKA"
"092","رقم استدعاء ديوى المحلى","رقم استدعاء ديوى المحلى","1","0","0","","","","BKA"
"096","رقم استدعاء المكتبة الطبية الوطنية المحلى","رقم استدعاء المكتبة الطبية الوطنية المحلى","1","0","0","","","","BKA"
"098","خطط تصنيف أخرى(OCLC)","خطط تصنيف أخرى(OCLC)","1","0","0","","","","BKA"
"099","رقم طلب محلى للنصوص الحرة  (OCLC)","رقم طلب محلى للنصوص الحرة  (OCLC)","1","0","0","","","","BKA"
"100","مدخل رئيسي ــ اسم شخص","مدخل رئيسي ــ اسم شخص","0","0","0","","","","BKA"
"110","مدخل رئيسي ــ اسم هيئة","مدخل رئيسي ــ اسم هيئة","0","0","0","","","","BKA"
"111","مدخل رئيسي ــ اسم مؤتمر","مدخل رئيسي ــ اسم مؤتمر","0","0","0","","","","BKA"
"130","مدخل رئيسي ــ عنوان موحد","مدخل رئيسي ــ عنوان موحد","0","0","0","","","","BKA"
"140","مدخل رئيسي ــ عنوان موحد (ربط التسجيلات)","مدخل رئيسي ــ عنوان موحد (ربط التسجيلات)","0","0","0","","","","BKA"
"188","مدخل رئيسي -- عنوان جامع","مدخل رئيسي -- عنوان جامع","0","0","0","","","","BKA"
"189","مؤلف - العنوان الجامع","مؤلف - العنوان الجامع","0","0","0","","","","BKA"
"210","العنوان المختصر","العنوان المختصر","1","0","0","","","","BKA"
"211","العنوان الاستهلالى أو العنوان المختصر - مهمل","العنوان الاستهلالى أو العنوان المختصر - مهمل","1","0","0","","","","BKA"
"212","عنوان الوصول المتغير - مهمل","عنوان الوصول المتغير - مهمل","1","0","0","","","","BKA"
"214","العنوان المندمج - [مهمل]","العنوان المندمج - [مهمل]","1","0","0","","","","BKA"
"222","العنوان المفتاحى","العنوان المفتاحى","1","0","0","","","","BKA"
"240","العنوان الموحد","العنوان الموحد","0","0","0","Unititle","","","BKA"
"241","العنوان المرومن - [مهمل]","العنوان المرومن - [مهمل]","0","0","0","","","","BKA"
