"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"031","g","المفتاح الموسيقى","المفتاح الموسيقى","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","m","صوت/آله","صوت/آله","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","n","توقيع رئيسى","توقيع رئيسى","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","o","زمن القطعة الصوتىة","زمن القطعة الصوتىة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","p","ترقيم موسيقى","ترقيم موسيقى","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","q","تبصرة عامة","تبصرة عامة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","r","مفتاح او نمط","مفتاح او نمط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","s","تبصرة الصلاحية المرمزة","تبصرة الصلاحية المرمزة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","t","النص الأدبي","النص الأدبي","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","u","معرف المصدر الموحد","معرف المصدر الموحد","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","y","نص الرابط","نص الرابط","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"031","z","تبصرة عامة","تبصرة عامة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"032","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"032","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"032","a","رقم تسجيل بريدى","رقم تسجيل بريدى","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"032","b","المصدر / الوكالة المانحة للرقم","المصدر / الوكالة المانحة للرقم","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"033","3","مواد محددة","مواد محددة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"033","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"033","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"033","a","التاريخ المصاغ/ الوقت","التاريخ المصاغ/ الوقت","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"033","b","رمز تصنيف المنطقة الجغرافية","رمز تصنيف المنطقة الجغرافية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"033","c","الرمز الجغرافي للمنطقة الجغرافية","الرمز الجغرافي للمنطقة الجغرافية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","2","المصدر","المصدر","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","a","فئه المقياس","فئه المقياس","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","b","ثابت النسبة للمقياس الأفقي الخطي","ثابت النسبة للمقياس الأفقي الخطي","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","c","ثابت النسبة لمقياس الرسم العمودي الخطي","ثابت النسبة لمقياس الرسم العمودي الخطي","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","d","الإحداثيات -- خط الطول لأقصى الغرب","الإحداثيات -- خط الطول لأقصى الغرب","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","e","الإحداثيات -- خط الطول لأقصى الشرق","الإحداثيات -- خط الطول لأقصى الشرق","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","f","الإحداثيات -- خط الطول لأقصى الشمال","الإحداثيات -- خط الطول لأقصى الشمال","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","g","الإحداثيات -- خط الطول لأقصى الجنوب","الإحداثيات -- خط الطول لأقصى الجنوب","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","h","مقياس زاوية الرسم","مقياس زاوية الرسم","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","j","الانحدار -- الحد الشمالي","الانحدار -- الحد الشمالي","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","k","الانحدار -- الحد االجنوبي","الانحدار -- الحد االجنوبي","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","m","خطوط مسح مجالية تصاعدية -- الحد الشرقي","خطوط مسح مجالية تصاعدية -- الحد الشرقي","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","n","خطوط مسح مجالية تصاعدية -- الحد الغربي","خطوط مسح مجالية تصاعدية -- الحد الغربي","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","p","الاعتدال الربيعي أو الخريفي","الاعتدال الربيعي أو الخريفي","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","r","Distrance من الارض","Distrance من الارض","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","s","خط عرض G-ring","خط عرض G-ring","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","t","خط طول G-ring","خط طول G-ring","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","x","تاريخ البداية","تاريخ البداية","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","y","تاريخ الانتهاء","تاريخ الانتهاء","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"034","z","اسم الجسم من الفضاء الخارجي","اسم الجسم من الفضاء الخارجي","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"035","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"035","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"035","a","رقم ضبط النظام","رقم ضبط النظام","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"035","z","رقم الضبط الملغى والمتاح","رقم الضبط الملغى والمتاح","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"036","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"036","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"036","a","رقم الدراسة الأصلية","رقم الدراسة الأصلية","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"036","b","المصدر / الوكالة المانحة للرقم","المصدر / الوكالة المانحة للرقم","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"037","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"037","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"037","a","رقم المخزون","رقم المخزون","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"037","b","مصدر رقم المخزون/ التزويد","مصدر رقم المخزون/ التزويد","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"037","c","شروط الاتاحة","شروط الاتاحة","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"037","f","شكل الإصدار","شكل الإصدار","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"037","g","خصائص شكلية إضافية","خصائص شكلية إضافية","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"037","n","ملاحظة","ملاحظة","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"038","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"038","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"038","a","مرخص محتوى التسجيلة","مرخص محتوى التسجيلة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"039","a","مستوى القاعدة فى الوصف الببليوجرافى","مستوى القاعدة فى الوصف الببليوجرافى","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"039","b","مستوى الجهد المستخدم لتخصيص نقاط الوصول للرؤس غير الموضوعية","مستوى الجهد المستخدم لتخصيص نقاط الوصول للرؤس غير الموضوعية","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"039","c","مستوى الجهد المستخدم لتخصيص رؤوس الموضوعات","مستوى الجهد المستخدم لتخصيص رؤوس الموضوعات","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"039","d","مستوى الجهد المستخدم لتخصيص التصنيف","مستوى الجهد المستخدم لتخصيص التصنيف","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"039","e","عدد حروف الحقل الثابت المكودة الموقع","عدد حروف الحقل الثابت المكودة الموقع","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"040","6","الرابط","الرابط","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"040","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"040","a","وكالة الفهرسة الأصلية","وكالة الفهرسة الأصلية","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"040","b","لغة الفهرسة","لغة الفهرسة","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"040","c","وكالة النسخ","وكالة النسخ","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"040","d","وكالة التعديل","وكالة التعديل","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"040","e","قواعد الوصف","قواعد الوصف","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"041","2","مصدر الكود","مصدر الكود","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"041","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"041","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"041","a","رمز لغة النص/ المسارات الصوتية أو العنوان الانفرادي","رمز لغة النص/ المسارات الصوتية أو العنوان الانفرادي","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"041","b","رمز لغة الملخص / المستخلص / العنوان الفوقي أو الفرعي","رمز لغة الملخص / المستخلص / العنوان الفوقي أو الفرعي","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"041","c","لغة العنوان المنفصل-[مهمل] - لغة الترجمة المتاحة [مهمل]","لغة العنوان المنفصل-[مهمل] - لغة الترجمة المتاحة [مهمل]","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"041","d","رمز لغة النص الغنائي أو المنطوق","رمز لغة النص الغنائي أو المنطوق","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"041","e","رمز لغة نص الأوبرا","رمز لغة نص الأوبرا","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"041","f","رمز لغة جدول المحتويات","رمز لغة جدول المحتويات","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"041","g","رمز لغة المواد المصاحبة من غير نص الأوبرا","رمز لغة المواد المصاحبة من غير نص الأوبرا","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"041","h","رمز لغة الترجمات و/او الاصلية المتوسطة للنص","رمز لغة الترجمات و/او الاصلية المتوسطة للنص","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"042","a","رمز التحقق","رمز التحقق","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"043","2","مصدر الكود المحلى","مصدر الكود المحلى","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"043","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"043","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"043","a","رمز المنطقة الجغرافية","رمز المنطقة الجغرافية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"043","b","الرمز المحلي للمنطقة الجغرافية","الرمز المحلي للمنطقة الجغرافية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"043","c","رمز المنظمة الدولية للتقييس -الأيزو","رمز المنظمة الدولية للتقييس -الأيزو","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"045","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"045","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"045","a","رمز الفترة الزمنية","رمز الفترة الزمنية","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"045","b","مصاغ قبل 9999 قبل الميلاد إلى الميلاد","مصاغ قبل 9999 قبل الميلاد إلى الميلاد","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"045","c","مصاغ قبل 9999 قبل الميلاد لما قبل الميلاد","مصاغ قبل 9999 قبل الميلاد لما قبل الميلاد","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","2","مصدر التاريخ","مصدر التاريخ","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","a","نوع رمز التاريخ","نوع رمز التاريخ","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","b","التاريخ الأول ق.م.","التاريخ الأول ق.م.","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","c","التاريخ الأول م.","التاريخ الأول م.","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","d","التاريخ الثاني ق.م.","التاريخ الثاني ق.م.","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","e","التاريخ الثاني م.","التاريخ الثاني م.","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","j","تاريخ تعديل المصدر","تاريخ تعديل المصدر","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","k","إنشاء تاريخ البداية أو تاريخ وحيد","إنشاء تاريخ البداية أو تاريخ وحيد","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","l","إنشاء تاريخ النهاية","إنشاء تاريخ النهاية","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","m","بداية التاريخ الصالح","بداية التاريخ الصالح","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"046","n","نهاية التاريخ الصالح","نهاية التاريخ الصالح","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"047","2","مصدر الكود","مصدر الكود","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"047","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"047","a","رمز شكل التأليف الصوتى","رمز شكل التأليف الصوتى","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"048","2","مصدر الكود","مصدر الكود","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"048","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"048","a","المؤدي أو المجموعة","المؤدي أو المجموعة","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"048","b","مؤدي منفرد","مؤدي منفرد","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"049","a","مكتبة المقتنيات","مكتبة المقتنيات","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","c","بيان نسخة","بيان نسخة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","d","تعريف المجموعات الببليوجرافية","تعريف المجموعات الببليوجرافية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","l","بيانات المعالجة المحلية","بيانات المعالجة المحلية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","m","العناصر االمفقودة","العناصر االمفقودة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","n","تبصرات حول المجموعات","تبصرات حول المجموعات","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","o","بيانات المعالجة المحلية","بيانات المعالجة المحلية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","p","المجموعات الببليوجرافية الثانية","المجموعات الببليوجرافية الثانية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","q","المجموعات الببليوجرافية الثالثة","المجموعات الببليوجرافية الثالثة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","r","المجموعات الببليوجرافية الرابغة","المجموعات الببليوجرافية الرابغة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","s","المجموعات الببليوجرافية الخامسة","المجموعات الببليوجرافية الخامسة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","t","المجموعات الببليوجرافية السادسة","المجموعات الببليوجرافية السادسة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","u","المجموعات الببليوجرافية السابعة","المجموعات الببليوجرافية السابعة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","v","المجموعت الببليوجرافية الاساسية","المجموعت الببليوجرافية الاساسية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"049","y","تواريخ شاملة من النشر أو التغطية","تواريخ شاملة من النشر أو التغطية","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"050","3","مواد محددة","مواد محددة","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"050","6","الرابط","الرابط","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"050","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"050","a","رقم التصنيف","رقم التصنيف","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"050","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"050","d","رقم التصنيف الإضافي","رقم التصنيف الإضافي","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"051","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"051","a","رقم التصنيف","رقم التصنيف","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"051","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"051","c","معلومات النسخه","معلومات النسخه","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"052","2","مصدر الترميز","مصدر الترميز","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"052","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"052","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"052","a","رمز تصنيف المنطقة الجغرافية","رمز تصنيف المنطقة الجغرافية","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"052","b","الرمز الجغرافي للمنطقة الجغرافية","الرمز الجغرافي للمنطقة الجغرافية","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"052","c","الموضوع - [مهمل]","الموضوع - [مهمل]","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"052","d","اسم المكان المأهول","اسم المكان المأهول","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"055","2","مصدر الطلب / رقم الصنف","مصدر الطلب / رقم الصنف","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"055","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"055","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"055","a","رقم التصنيف","رقم التصنيف","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"055","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"060","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"060","a","رقم التصنيف","رقم التصنيف","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"060","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"061","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"061","a","رقم التصنيف","رقم التصنيف","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"061","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"061","c","معلومات النسخه","معلومات النسخه","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"066","a","مجموعة حروف G0 الأولى","مجموعة حروف G0 الأولى","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"066","b","مجموعة حروف G1 الأولى","مجموعة حروف G1 الأولى","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"066","c","مجموعة حروف G0 أو G1 البديلة","مجموعة حروف G0 أو G1 البديلة","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"070","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"070","a","رقم التصنيف","رقم التصنيف","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"070","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"071","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"071","a","رقم التصنيف","رقم التصنيف","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"071","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"071","c","معلومات النسخه","معلومات النسخه","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"072","a","اسم الفن","اسم الفن","0","0","0","","0","","","","0","0","BKA","","","","9999","0"
"074","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"074","a","رقم GPO للمادة","رقم GPO للمادة","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"074","z","رقم GPO خاطئ","رقم GPO خاطئ","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"080","2","مؤشر الطبعة","مؤشر الطبعة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"080","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"080","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"080","a","رقم التصنيف العشري العالمي","رقم التصنيف العشري العالمي","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"080","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"080","x","التقسيم المشترك المساعد","التقسيم المشترك المساعد","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"082","2","رقم الطبعة","رقم الطبعة","0","0","0","","-1","","","","0","0","BKA","","","","9999","0"
"082","@","الاختصار","الاختصار","0","0","0","","-1","","","","0","0","BKA","","","","9999","0"
"082","a","رقم التصنيف","رقم التصنيف","0","0","0","","0","","","","0","0","BKA","","","","9999","0"
"082","b","الاختصار","الاختصار","0","0","0","","-1","","","","0","0","BKA","","","","9999","0"
"084","2","مصدر الرقم","مصدر الرقم","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"084","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"084","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"084","a","رقم التصنيف","رقم التصنيف","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"084","b","رقم المادة","رقم المادة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"086","2","مصدر الرقم","مصدر الرقم","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"086","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"086","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"086","a","رقم التصنيف","رقم التصنيف","0","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"086","z","رقم تصنيف خاطئ/ ملغي","رقم تصنيف خاطئ/ ملغي","1","0","0","","0","","","","0","-1","BKA","","","","9999","0"
"087","a","رقم التقرير[ملغي, CAN/MARC]","رقم التقرير[ملغي, CAN/MARC]","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"087","z","رقم التقرير الخاطئ و الملغى - [مهمل ,CAN/MARC]","رقم التقرير الخاطئ و الملغى - [مهمل ,CAN/MARC]","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"088","6","الرابط","الرابط","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"088","8","رابط الحقل و رقم التتابع","رابط الحقل و رقم التتابع","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"088","a","رقم التقرير","رقم التقرير","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"088","z","رقم تقرير خاطئ/ ملغي","رقم تقرير خاطئ/ ملغي","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"090","a","رقم تصنيف (OCLC) (R) ;رقم تصنيف, CALL (RLIN) (NR)","رقم تصنيف (OCLC) (R) ;رقم تصنيف, CALL (RLIN) (NR)","1","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"090","b","كتر محلي OCLC رقم كتاب / رقم طلب غير مقسم,رقم RLIN( غير مكرر)","كتر محلي OCLC رقم كتاب / رقم طلب غير مقسم,رقم RLIN( غير مكرر)","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"090","e","سمة البند (OCLC)","سمة البند (OCLC)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","f","ايداع اللاحقه (OCLC) ؛ الحاشيه ، FNT (RLIN)","ايداع اللاحقه (OCLC) ؛ الحاشيه ، FNT (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","h","Output transaction history, HST (RLIN)","Output transaction history, HST (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","i","Output transaction instruction, INS (RLIN)","Output transaction instruction, INS (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","l","Extra card control statement, EXT (RLIN)","Extra card control statement, EXT (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","n","Additional local notes, ANT (RLIN)","Additional local notes, ANT (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","p","Pathfinder code, PTH (RLIN)","Pathfinder code, PTH (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","t","Field suppresion, FSP (RLIN)","Field suppresion, FSP (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","v","المجلدات, VOL (RLIN)","المجلدات, VOL (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","y","تاريخ, VOL (RLIN)","تاريخ, VOL (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"090","z","إحتفاظ, VOL (RLIN)","إحتفاظ, VOL (RLIN)","0","0","0","","0","","","","0","5","BKA","","","","9999","0"
"091","a","موقع ترفيف الميكروفيلم","موقع ترفيف الميكروفيلم","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"092","2","رقم الطبعة","رقم الطبعة","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
"092","a","رقم التصنيف","رقم التصنيف","0","0","0","","0","","","","0","-6","BKA","","","","9999","0"
